,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2016-07-15,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,2,0,Morelia,44.0,26833.0,Juan Carlos Valenzuela,4-4-2,Ángel Monroy,Match Report,,0,0,,1,1,2017,Tijuana
1,2016-07-24,18:00,Liga MX,Apertura 2016 Regular Season,Sun,Away,L,2,3,Puebla,57.0,14137.0,Dayro Moreno,4-4-2,Miguel Chacón,Match Report,,0,0,,0,0,2017,Tijuana
2,2016-07-29,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,4,0,Guadalajara,34.0,27333.0,Juan Carlos Valenzuela,4-4-2,Alfredo Peñaloza,Match Report,,0,0,,1,1,2017,Tijuana
3,2016-08-06,17:00,Liga MX,Apertura 2016 Regular Season,Sat,Away,W,2,1,Cruz Azul,49.0,17341.0,Juan Carlos Valenzuela,4-4-2,Jorge Pérez,Match Report,,0,0,,0,0,2017,Tijuana
4,2016-08-12,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,2,0,León,56.0,27333.0,Juan Carlos Valenzuela,4-4-2,Marco Antonio Nava,Match Report,,0,0,,1,1,2017,Tijuana
5,2016-08-20,21:00,Liga MX,Apertura 2016 Regular Season,Sat,Away,D,1,1,Necaxa,52.0,14349.0,Juan Carlos Valenzuela,4-4-2,Erick Yair Miranda,Match Report,,0,0,,1,1,2017,Tijuana
6,2016-08-26,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,1,0,UNAM,54.0,27333.0,Juan Carlos Valenzuela,4-4-2,Roberto García,Match Report,,0,0,,0,0,2017,Tijuana
7,2016-09-10,19:00,Liga MX,Apertura 2016 Regular Season,Sat,Away,D,0,0,Monterrey,34.0,50045.0,Juan Carlos Valenzuela,4-2-2-2,Fernando Guerrero,Match Report,,0,0,,0,0,2017,Tijuana
8,2016-09-17,19:06,Liga MX,Apertura 2016 Regular Season,Sat,Away,D,2,2,Pachuca,50.0,26345.0,Juan Carlos Valenzuela,4-1-4-1,Jorge Rojas,Match Report,,0,0,,1,1,2017,Tijuana
9,2016-09-21,20:00,Liga MX,Apertura 2016 Regular Season,Wed,Home,W,2,1,Querétaro,53.0,26333.0,Juan Carlos Valenzuela,4-2-3-1,Andonai Escobedo,Match Report,,0,0,,0,0,2017,Tijuana
10,2016-09-25,18:00,Liga MX,Apertura 2016 Regular Season,Sun,Away,W,2,1,Santos,56.0,18132.0,Juan Carlos Valenzuela,4-4-2,Luis Santander,Match Report,,0,0,,0,0,2017,Tijuana
11,2016-09-30,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,1,0,Atlas,45.0,27033.0,Dayro Moreno,4-4-2,Marco Antonio Nava,Match Report,,0,0,,0,0,2017,Tijuana
12,2016-10-15,21:00,Liga MX,Apertura 2016 Regular Season,Sat,Away,L,0,1,América,53.0,49640.0,Dayro Moreno,4-4-2,Alfredo Peñaloza,Match Report,,0,0,,0,0,2017,Tijuana
13,2016-10-21,19:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,W,2,0,Chiapas,49.0,26333.0,Dayro Moreno,4-4-2,Francisco Chacon,Match Report,,0,0,,0,0,2017,Tijuana
14,2016-10-30,12:00,Liga MX,Apertura 2016 Regular Season,Sun,Away,W,1,0,Toluca,40.0,13970.0,Juan Carlos Valenzuela,4-4-2,Óscar Macias,Match Report,,0,0,,0,0,2017,Tijuana
15,2016-11-04,20:00,Liga MX,Apertura 2016 Regular Season,Fri,Home,L,0,1,UANL,58.0,27333.0,Juan Carlos Valenzuela,4-2-3-1,César Arturo Ramos,Match Report,,0,0,,0,0,2017,Tijuana
