,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2022-07-03,19:05,Liga MX,Apertura 2022 Regular Season,Sun,Away,L,3,4,Santos,2.3,3.9,51,13218.0,Celso Ortiz,4-2-3-1,Jorge Pérez,Match Report,,16,7,19.0,1.0,1,1,2023,Monterrey
1,2022-07-09,21:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,W,3,2,América,1.2,1.4,37,41342.0,Celso Ortiz,4-2-3-1,Marco Ortíz,Match Report,,19,8,20.7,0.0,0,0,2023,Monterrey
2,2022-07-17,17:00,Liga MX,Apertura 2022 Regular Season,Sun,Away,W,1,0,Atlético,1.7,0.8,63,14842.0,Celso Ortiz,4-2-3-1,Fernando Guerrero,Match Report,,18,4,24.1,0.0,1,1,2023,Monterrey
3,2022-07-21,21:00,Liga MX,Apertura 2022 Regular Season,Thu,Away,W,3,0,Querétaro,1.7,0.6,47,,Celso Ortiz,4-2-3-1,Luis Santander,Match Report,,15,6,16.8,1.0,0,0,2023,Monterrey
4,2022-07-26,19:00,Liga MX,Apertura 2022 Regular Season,Tue,Home,W,1,0,Puebla,3.2,0.1,44,35893.0,Celso Ortiz,4-4-2,Óscar Macias,Match Report,,22,7,17.7,0.0,0,0,2023,Monterrey
5,2022-07-31,12:00,Liga MX,Apertura 2022 Regular Season,Sun,Away,D,1,1,UNAM,0.4,0.6,43,26590.0,Héctor Moreno,4-2-3-1,Diego Montaño,Match Report,,7,2,18.6,0.0,0,0,2023,Monterrey
6,2022-08-06,19:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,W,5,1,León,4.0,1.2,29,37154.0,Celso Ortiz,3-5-2,Marco Ortíz,Match Report,,15,9,12.4,0.0,0,1,2023,Monterrey
7,2022-08-12,21:00,Liga MX,Apertura 2022 Regular Season,Fri,Away,W,2,1,Necaxa,0.8,0.6,48,10704.0,Celso Ortiz,4-4-2,Guillermo Pacheco,Match Report,,17,6,20.1,1.0,0,0,2023,Monterrey
8,2022-08-17,19:00,Liga MX,Apertura 2022 Regular Season,Wed,Away,D,1,1,Toluca,1.3,0.6,37,26509.0,Celso Ortiz,4-2-3-1,Daniel Quintero,Match Report,,15,4,20.1,0.0,0,0,2023,Monterrey
9,2022-08-20,19:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,D,0,0,UANL,0.7,0.6,48,52810.0,Celso Ortiz,4-2-3-1,Fernando Guerrero,Match Report,,13,1,20.6,0.0,0,0,2023,Monterrey
10,2022-08-23,19:05,Liga MX,Apertura 2022 Regular Season,Tue,Away,L,0,1,Guadalajara,1.1,1.3,53,34279.0,Héctor Moreno,4-2-3-1,Luis Santander,Match Report,,14,7,16.8,0.0,0,0,2023,Monterrey
11,2022-08-28,19:05,Liga MX,Apertura 2022 Regular Season,Sun,Away,W,3,0,Tijuana,1.7,0.8,64,24433.0,Héctor Moreno,4-2-3-1,Brian Gonzalez,Match Report,,18,5,19.6,0.0,1,1,2023,Monterrey
12,2022-09-03,19:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,D,0,0,Mazatlán,1.7,0.3,56,33135.0,Héctor Moreno,4-2-3-1,Victor Caceres,Match Report,,19,3,19.3,0.0,0,0,2023,Monterrey
13,2022-09-06,21:05,Liga MX,Apertura 2022 Regular Season,Tue,Home,W,3,2,Cruz Azul,1.7,0.3,51,28371.0,Celso Ortiz,4-2-3-1,Oscar Mejia,Match Report,,17,11,18.8,0.0,0,0,2023,Monterrey
14,2022-09-09,20:05,Liga MX,Apertura 2022 Regular Season,Fri,Away,W,1,0,FC Juárez,0.9,0.5,51,10947.0,César Montes,4-4-2,Diego Montaño,Match Report,,14,5,17.9,1.0,0,0,2023,Monterrey
15,2022-09-17,19:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,W,2,0,Atlas,0.9,0.9,53,36124.0,Celso Ortiz,4-4-2,Marco Ortíz,Match Report,,16,4,22.2,0.0,0,0,2023,Monterrey
16,2022-10-01,17:05,Liga MX,Apertura 2022 Regular Season,Sat,Home,D,0,0,Pachuca,0.5,1.0,43,36382.0,Celso Ortiz,4-4-2,Fernando Hernández,Match Report,,12,4,22.2,1.0,0,0,2023,Monterrey
17,2022-10-12,21:06,Liga MX,Quarter-finals,Wed,Away,D,0,0,Cruz Azul,0.6,0.4,46,24571.0,Celso Ortiz,4-4-2,Victor Caceres,Match Report,Leg 1 of 2,9,1,19.4,0.0,0,0,2023,Monterrey
18,2022-10-15,18:06,Liga MX,Quarter-finals,Sat,Home,W,3,0,Cruz Azul,2.0,2.9,43,39578.0,Celso Ortiz,4-4-2,Adonai Escobedo,Match Report,Leg 2 of 2; Monterrey won,15,5,15.4,0.0,0,0,2023,Monterrey
