,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2017-08-27,18:05,Primera Div,Matchweek 1,Sun,Home,W,3,0,Club Olimpo,72.0,,Fernando Gago,4-3-3,Néstor Pitana,Match Report,,14.0,8.0,,1,1,2018,Boca Juniors
1,2017-09-10,20:05,Primera Div,Matchweek 2,Sun,Away,W,1,0,Lanús,58.0,,Fernando Gago,4-3-3,Fernando Echenique,Match Report,,8.0,4.0,,0,0,2018,Boca Juniors
2,2017-09-17,18:05,Primera Div,Matchweek 3,Sun,Home,W,4,1,Godoy Cruz,60.0,,Fernando Gago,4-3-3,Germán Delfino,Match Report,,17.0,10.0,,0,0,2018,Boca Juniors
3,2017-09-23,18:05,Primera Div,Matchweek 4,Sat,Away,W,4,0,Vélez Sarsf,44.0,,Fernando Gago,4-3-3,Fernando Espinoza,Match Report,,7.0,4.0,,0,0,2018,Boca Juniors
4,2017-10-01,18:05,Primera Div,Matchweek 5,Sun,Home,W,1,0,Chacarita,36.0,,Fernando Gago,4-3-3,Néstor Pitana,Match Report,,7.0,2.0,,0,0,2018,Boca Juniors
5,2017-10-15,20:05,Primera Div,Matchweek 6,Sun,Away,W,2,0,Patronato,63.0,,Pablo Pérez,4-3-3,Facundo Tello,Match Report,,16.0,4.0,,0,0,2018,Boca Juniors
6,2017-10-29,18:05,Primera Div,Matchweek 7,Sun,Home,W,4,0,Belgrano,55.0,,Pablo Pérez,4-3-3,Silvio Trucco,Match Report,,15.0,6.0,,0,0,2018,Boca Juniors
7,2017-11-05,18:05,Primera Div,Matchweek 8,Sun,Away,W,2,1,River Plate,37.0,,Pablo Pérez,4-3-3,Néstor Pitana,Match Report,,11.0,5.0,,0,0,2018,Boca Juniors
8,2017-11-19,19:15,Primera Div,Matchweek 9,Sun,Home,L,1,2,Racing Club,72.0,,Pablo Pérez,4-3-3,Darío Herrera,Match Report,,17.0,3.0,,1,1,2018,Boca Juniors
9,2017-11-26,21:30,Primera Div,Matchweek 10,Sun,Away,L,0,1,Rosario Cent,61.0,,Pablo Pérez,4-3-3,Patricio Loustau,Match Report,,12.0,2.0,,0,0,2018,Boca Juniors
10,2017-12-03,19:15,Primera Div,Matchweek 11,Sun,Home,W,2,0,Arsenal,57.0,,Santiago Vergini,4-3-3,Facundo Tello,Match Report,,21.0,6.0,,0,0,2018,Boca Juniors
11,2017-12-10,21:30,Primera Div,Matchweek 12,Sun,Away,W,1,0,Estudiantes,61.0,,Pablo Pérez,4-3-3,Fernando Espinoza,Match Report,,13.0,2.0,,0,0,2018,Boca Juniors
12,2018-01-27,21:30,Primera Div,Matchweek 13,Sat,Home,W,2,0,Colón,51.0,,Carlos Tevez,4-2-3-1,Federico Beligoy,Match Report,,12.0,6.0,,0,0,2018,Boca Juniors
13,2018-02-04,19:15,Primera Div,Matchweek 14,Sun,Away,D,1,1,San Lorenzo,65.0,,Pablo Pérez,4-3-3,Silvio Trucco,Match Report,,19.0,2.0,,0,0,2018,Boca Juniors
14,2018-02-11,19:15,Primera Div,Matchweek 15,Sun,Home,W,1,0,Temperley,59.0,,Carlos Tevez,4-1-2-1-2◆,Ariel Penel,Match Report,,15.0,2.0,,0,1,2018,Boca Juniors
15,2018-02-18,21:30,Primera Div,Matchweek 16,Sun,Away,W,1,0,Banfield,66.0,,Carlos Tevez,4-3-3,Mauro Vigliano,Match Report,,7.0,3.0,,0,0,2018,Boca Juniors
16,2018-02-25,19:15,Primera Div,Matchweek 17,Sun,Home,W,4,2,San Martín SJ,49.0,,Carlos Tevez,4-3-3,Diego Abal,Match Report,,14.0,8.0,,0,0,2018,Boca Juniors
17,2018-03-05,21:15,Primera Div,Matchweek 18,Mon,Away,L,0,2,Argentinos Jun,52.0,,Santiago Vergini,4-3-3,Andrés Merlos,Match Report,,8.0,2.0,,0,0,2018,Boca Juniors
18,2018-03-10,19:15,Primera Div,Matchweek 19,Sat,Home,W,2,1,Tigre,57.0,,Pablo Pérez,4-3-3,Germán Delfino,Match Report,,13.0,7.0,,1,1,2018,Boca Juniors
19,2018-03-18,17:45,Primera Div,Matchweek 20,Sun,Away,D,1,1,Tucumán,68.0,,Pablo Pérez,4-1-2-1-2◆,Darío Herrera,Match Report,,17.0,6.0,,0,0,2018,Boca Juniors
20,2018-04-01,17:45,Primera Div,Matchweek 21,Sun,Home,W,2,1,Talleres,55.0,,Pablo Pérez,4-3-1-2,Federico Beligoy,Match Report,,13.0,5.0,,0,0,2018,Boca Juniors
21,2018-04-07,20:00,Primera Div,Matchweek 22,Sat,Home,L,1,2,Defensa y Just,71.0,,Paolo Goltz,4-3-3,Fernando Rapallini,Match Report,,16.0,4.0,,0,0,2018,Boca Juniors
22,2018-04-15,20:00,Primera Div,Matchweek 23,Sun,Away,L,0,1,Independiente,53.0,,Pablo Pérez,4-3-3,Ariel Penel,Match Report,,13.0,3.0,,0,0,2018,Boca Juniors
23,2018-04-22,20:00,Primera Div,Matchweek 24,Sun,Home,W,3,1,Newell's OB,45.0,,Carlos Tevez,4-2-3-1,Juan Pompei,Match Report,,10.0,5.0,,0,0,2018,Boca Juniors
