,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2019-08-11,21:00,Ligue 1,Matchweek 1,Sun,Home,W,3,0,Nîmes,3.5,0.3,74.0,47151.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,11.0,4.0,13.9,0.0,1.0,1.0,2020,Paris Saint Germain
2,2019-08-18,21:00,Ligue 1,Matchweek 2,Sun,Away,L,1,2,Rennes,1.0,1.2,62.0,28596.0,Thiago Silva,4-3-3,Antony Gautier,Match Report,,9.0,2.0,15.5,0.0,0.0,0.0,2020,Paris Saint Germain
3,2019-08-25,21:00,Ligue 1,Matchweek 3,Sun,Home,W,4,0,Toulouse,4.1,0.4,71.0,47325.0,Marquinhos,4-3-3,Jérôme Brisard,Match Report,,20.0,10.0,15.6,1.0,0.0,1.0,2020,Paris Saint Germain
4,2019-08-30,20:45,Ligue 1,Matchweek 4,Fri,Away,W,2,0,Metz,1.6,0.4,68.0,20685.0,Thiago Silva,4-3-3,Franck Schneider,Match Report,,9.0,3.0,14.8,0.0,1.0,1.0,2020,Paris Saint Germain
5,2019-09-14,17:30,Ligue 1,Matchweek 5,Sat,Home,W,1,0,Strasbourg,0.8,0.5,62.0,47505.0,Thiago Silva,4-2-3-1,Amaury Delerue,Match Report,,16.0,7.0,19.2,0.0,0.0,0.0,2020,Paris Saint Germain
7,2019-09-22,21:00,Ligue 1,Matchweek 6,Sun,Away,W,1,0,Lyon,1.5,0.5,63.0,54583.0,Thiago Silva,4-3-3,Ruddy Buquet,Match Report,,21.0,7.0,18.1,1.0,0.0,0.0,2020,Paris Saint Germain
8,2019-09-25,21:00,Ligue 1,Matchweek 7,Wed,Home,L,0,2,Reims,0.6,1.0,72.0,47376.0,Presnel Kimpembe,4-3-3,François Letexier,Match Report,,12.0,3.0,20.3,1.0,0.0,0.0,2020,Paris Saint Germain
9,2019-09-28,17:30,Ligue 1,Matchweek 8,Sat,Away,W,1,0,Bordeaux,2.8,0.1,64.0,39215.0,Thiago Silva,4-3-3,Jérôme Brisard,Match Report,,21.0,7.0,14.9,1.0,0.0,0.0,2020,Paris Saint Germain
11,2019-10-05,17:30,Ligue 1,Matchweek 9,Sat,Home,W,4,0,Angers,3.4,0.6,72.0,47700.0,Thiago Silva,4-3-3,Willy Delajod,Match Report,,15.0,7.0,13.1,0.0,0.0,0.0,2020,Paris Saint Germain
12,2019-10-18,20:45,Ligue 1,Matchweek 10,Fri,Away,W,4,1,Nice,3.5,0.8,61.0,32705.0,Thiago Silva,4-2-2-2,François Letexier,Match Report,,23.0,10.0,14.5,0.0,0.0,0.0,2020,Paris Saint Germain
14,2019-10-27,21:00,Ligue 1,Matchweek 11,Sun,Home,W,4,0,Marseille,3.0,0.6,61.0,47926.0,Thiago Silva,4-3-3,Benoît Bastien,Match Report,,13.0,8.0,16.2,2.0,0.0,0.0,2020,Paris Saint Germain
15,2019-11-01,20:45,Ligue 1,Matchweek 12,Fri,Away,L,1,2,Dijon,3.2,1.0,66.0,14859.0,Marquinhos,4-3-3,Ruddy Buquet,Match Report,,20.0,4.0,15.9,1.0,0.0,0.0,2020,Paris Saint Germain
17,2019-11-09,17:30,Ligue 1,Matchweek 13,Sat,Away,W,2,1,Brest,2.4,1.1,59.0,15144.0,Thiago Silva,4-2-3-1,Mikael Lesage,Match Report,,18.0,8.0,15.6,1.0,0.0,0.0,2020,Paris Saint Germain
18,2019-11-22,20:45,Ligue 1,Matchweek 14,Fri,Home,W,2,0,Lille,2.6,1.0,59.0,47476.0,Thiago Silva,4-3-3,Willy Delajod,Match Report,,11.0,4.0,14.3,0.0,0.0,0.0,2020,Paris Saint Germain
20,2019-12-04,21:05,Ligue 1,Matchweek 16,Wed,Home,W,2,0,Nantes,1.9,0.6,63.0,47485.0,Thiago Silva,4-3-3,Amaury Delerue,Match Report,,9.0,5.0,17.6,0.0,1.0,1.0,2020,Paris Saint Germain
21,2019-12-07,17:30,Ligue 1,Matchweek 17,Sat,Away,W,3,1,Montpellier,1.2,0.4,67.0,20197.0,Thiago Silva,4-2-2-2,Antony Gautier,Match Report,,15.0,6.0,22.1,4.0,0.0,0.0,2020,Paris Saint Germain
23,2019-12-15,21:00,Ligue 1,Matchweek 18,Sun,Away,W,4,0,Saint-Étienne,4.3,1.1,66.0,36391.0,Thiago Silva,4-2-2-2,Ruddy Buquet,Match Report,,21.0,11.0,14.3,0.0,0.0,1.0,2020,Paris Saint Germain
25,2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Home,W,4,1,Amiens,4.6,0.6,66.0,47693.0,Thiago Silva,4-2-2-2,Eric Wattellier,Match Report,,22.0,10.0,14.4,0.0,0.0,0.0,2020,Paris Saint Germain
28,2020-01-12,21:00,Ligue 1,Matchweek 20,Sun,Home,D,3,3,Monaco,2.5,2.3,61.0,47580.0,Thiago Silva,4-2-2-2,Antony Gautier,Match Report,,12.0,5.0,15.0,1.0,1.0,1.0,2020,Paris Saint Germain
29,2020-01-15,21:00,Ligue 1,Matchweek 15,Wed,Away,W,4,1,Monaco,3.6,1.1,58.0,11214.0,Thiago Silva,4-2-2-2,François Letexier,Match Report,,16.0,11.0,17.6,1.0,1.0,1.0,2020,Paris Saint Germain
32,2020-01-26,21:00,Ligue 1,Matchweek 21,Sun,Away,W,2,0,Lille,2.0,0.5,58.0,49132.0,Thiago Silva,4-2-2-2,Amaury Delerue,Match Report,,11.0,4.0,16.9,0.0,1.0,1.0,2020,Paris Saint Germain
34,2020-02-01,17:30,Ligue 1,Matchweek 22,Sat,Home,W,5,0,Montpellier,2.9,0.2,67.0,47701.0,Presnel Kimpembe,4-2-2-2,Jérôme Brisard,Match Report,,20.0,9.0,17.7,4.0,0.0,0.0,2020,Paris Saint Germain
35,2020-02-04,21:05,Ligue 1,Matchweek 23,Tue,Away,W,2,1,Nantes,3.6,2.7,65.0,34307.0,Presnel Kimpembe,4-2-2-2,Franck Schneider,Match Report,,19.0,6.0,14.4,1.0,0.0,0.0,2020,Paris Saint Germain
36,2020-02-09,21:00,Ligue 1,Matchweek 24,Sun,Home,W,4,2,Lyon,1.7,1.0,69.0,47000.0,Presnel Kimpembe,4-2-2-2,Clément Turpin,Match Report,,16.0,5.0,19.8,1.0,0.0,0.0,2020,Paris Saint Germain
38,2020-02-15,17:30,Ligue 1,Matchweek 25,Sat,Away,D,4,4,Amiens,3.2,1.3,71.0,12964.0,Thiago Silva,4-2-2-2,Hakim Ben El Hadj Salem,Match Report,,15.0,10.0,14.3,0.0,0.0,0.0,2020,Paris Saint Germain
40,2020-02-23,21:00,Ligue 1,Matchweek 26,Sun,Home,W,4,3,Bordeaux,5.1,1.5,66.0,47771.0,Thiago Silva,4-2-2-2,Willy Delajod,Match Report,,23.0,9.0,13.1,1.0,0.0,0.0,2020,Paris Saint Germain
41,2020-02-29,17:30,Ligue 1,Matchweek 27,Sat,Home,W,4,0,Dijon,3.6,0.4,70.0,47542.0,Marquinhos,4-2-2-2,Karim Abed,Match Report,,23.0,11.0,13.0,0.0,0.0,0.0,2020,Paris Saint Germain
0,2019-08-10,17:30,Ligue 1,Matchweek 1,Sat,Home,L,0,2,Reims,0.9,1.2,64.0,52887.0,Steve Mandanda,4-3-3,Jérôme Brisard,Match Report,,10.0,2.0,19.5,0.0,0.0,0.0,2020,Marseille
1,2019-08-17,17:30,Ligue 1,Matchweek 2,Sat,Away,D,0,0,Nantes,1.2,0.5,47.0,34832.0,Steve Mandanda,4-3-3,Benoît Bastien,Match Report,,8.0,2.0,20.8,1.0,0.0,1.0,2020,Marseille
2,2019-08-28,21:00,Ligue 1,Matchweek 3,Wed,Away,W,2,1,Nice,1.7,1.7,38.0,31825.0,Steve Mandanda,4-3-3,Clément Turpin,Match Report,,11.0,4.0,20.3,0.0,1.0,1.0,2020,Marseille
3,2019-09-01,21:00,Ligue 1,Matchweek 4,Sun,Home,W,1,0,Saint-Étienne,0.7,0.8,50.0,44074.0,Steve Mandanda,4-3-3,Benoît Millot,Match Report,,9.0,2.0,21.2,0.0,0.0,0.0,2020,Marseille
4,2019-09-15,21:00,Ligue 1,Matchweek 5,Sun,Away,W,4,3,Monaco,1.6,2.5,56.0,9147.0,Steve Mandanda,4-3-3,Antony Gautier,Match Report,,13.0,6.0,14.4,0.0,0.0,0.0,2020,Marseille
5,2019-09-21,17:30,Ligue 1,Matchweek 6,Sat,Home,D,1,1,Montpellier,1.2,0.1,65.0,48007.0,Steve Mandanda,4-3-3,Amaury Delerue,Match Report,,24.0,5.0,20.9,2.0,0.0,0.0,2020,Marseille
6,2019-09-24,19:00,Ligue 1,Matchweek 7,Tue,Away,D,0,0,Dijon,0.9,1.4,55.0,15061.0,Steve Mandanda,4-3-3,Jeremy Stinat,Match Report,,9.0,2.0,15.4,0.0,0.0,0.0,2020,Marseille
7,2019-09-29,21:00,Ligue 1,Matchweek 8,Sun,Home,D,1,1,Rennes,0.8,0.9,55.0,44281.0,Steve Mandanda,4-2-3-1,Franck Schneider,Match Report,,17.0,5.0,22.0,0.0,0.0,0.0,2020,Marseille
8,2019-10-04,20:45,Ligue 1,Matchweek 9,Fri,Away,L,1,3,Amiens,0.5,2.9,67.0,12737.0,Steve Mandanda,4-2-3-1,Johan Hamel,Match Report,,13.0,4.0,24.9,3.0,0.0,0.0,2020,Marseille
9,2019-10-20,21:00,Ligue 1,Matchweek 10,Sun,Home,W,2,0,Strasbourg,1.6,0.5,50.0,50203.0,Steve Mandanda,4-3-3,Hakim Ben El Hadj Salem,Match Report,,10.0,5.0,20.6,1.0,1.0,1.0,2020,Marseille
10,2019-10-27,21:00,Ligue 1,Matchweek 11,Sun,Away,L,0,4,Paris S-G,0.6,3.0,39.0,47926.0,Steve Mandanda,4-3-3,Benoît Bastien,Match Report,,11.0,2.0,19.6,0.0,0.0,0.0,2020,Marseille
12,2019-11-02,17:30,Ligue 1,Matchweek 12,Sat,Home,W,2,1,Lille,0.7,0.4,44.0,53321.0,Steve Mandanda,4-3-3,Hakim Ben El Hadj Salem,Match Report,,11.0,1.0,14.3,0.0,0.0,0.0,2020,Marseille
13,2019-11-10,21:00,Ligue 1,Matchweek 13,Sun,Home,W,2,1,Lyon,1.2,1.1,41.0,65421.0,Steve Mandanda,4-3-3,Antony Gautier,Match Report,,9.0,3.0,21.8,0.0,1.0,1.0,2020,Marseille
14,2019-11-24,21:00,Ligue 1,Matchweek 14,Sun,Away,W,2,0,Toulouse,1.6,0.9,71.0,23002.0,Steve Mandanda,4-3-3,François Letexier,Match Report,,14.0,7.0,16.8,1.0,0.0,0.0,2020,Marseille
15,2019-11-29,20:45,Ligue 1,Matchweek 15,Fri,Home,W,2,1,Brest,5.0,0.7,58.0,50014.0,Steve Mandanda,4-3-3,Johan Hamel,Match Report,,35.0,10.0,15.6,4.0,0.0,0.0,2020,Marseille
16,2019-12-03,19:00,Ligue 1,Matchweek 16,Tue,Away,W,2,0,Angers,1.8,0.7,38.0,12455.0,Steve Mandanda,4-3-3,Franck Schneider,Match Report,,9.0,3.0,20.1,0.0,1.0,1.0,2020,Marseille
17,2019-12-08,21:00,Ligue 1,Matchweek 17,Sun,Home,W,3,1,Bordeaux,1.9,0.1,50.0,52079.0,Steve Mandanda,4-3-3,Mikael Lesage,Match Report,,25.0,6.0,21.1,1.0,0.0,0.0,2020,Marseille
18,2019-12-14,17:30,Ligue 1,Matchweek 18,Sat,Away,D,1,1,Metz,1.8,1.1,67.0,20586.0,Steve Mandanda,4-3-3,Willy Delajod,Match Report,,16.0,5.0,18.4,1.0,0.0,0.0,2020,Marseille
19,2019-12-21,20:45,Ligue 1,Matchweek 19,Sat,Home,W,3,1,Nîmes,2.0,1.0,57.0,59043.0,Dimitri Payet,4-3-3,François Letexier,Match Report,,19.0,9.0,19.1,0.0,0.0,0.0,2020,Marseille
21,2020-01-10,20:45,Ligue 1,Matchweek 20,Fri,Away,W,1,0,Rennes,0.7,0.6,47.0,28896.0,Steve Mandanda,4-3-3,Benoît Millot,Match Report,,10.0,4.0,20.5,2.0,0.0,0.0,2020,Marseille
23,2020-01-25,17:30,Ligue 1,Matchweek 21,Sat,Home,D,0,0,Angers,0.4,0.2,66.0,55761.0,Steve Mandanda,4-1-4-1,Johan Hamel,Match Report,,9.0,2.0,19.6,0.0,0.0,0.0,2020,Marseille
25,2020-02-02,21:00,Ligue 1,Matchweek 22,Sun,Away,D,0,0,Bordeaux,0.6,1.3,50.0,36196.0,Steve Mandanda,4-1-4-1,Ruddy Buquet,Match Report,,16.0,4.0,23.9,0.0,0.0,0.0,2020,Marseille
