,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2019-08-24,18:00,Serie A,Matchweek 1,Sat,Away,W,1,0,Parma,1.4,0.3,61.0,20073.0,Giorgio Chiellini,4-3-3,Fabio Maresca,Match Report,,14.0,4.0,17.9,1.0,0,0,2020,Juventus
1,2019-08-31,20:45,Serie A,Matchweek 2,Sat,Home,W,4,3,Napoli,1.8,1.4,45.0,39203.0,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,,12.0,7.0,17.9,0.0,0,0,2020,Juventus
2,2019-09-14,15:00,Serie A,Matchweek 3,Sat,Away,D,0,0,Fiorentina,0.4,1.8,53.0,40000.0,Leonardo Bonucci,4-4-2,Massimiliano Irrati,Match Report,,8.0,4.0,24.7,1.0,0,0,2020,Juventus
4,2019-09-21,18:00,Serie A,Matchweek 4,Sat,Home,W,2,1,Hellas Verona,1.9,1.6,59.0,39945.0,Leonardo Bonucci,4-3-3,Federico La Penna,Match Report,,20.0,2.0,20.9,1.0,1,1,2020,Juventus
5,2019-09-24,21:00,Serie A,Matchweek 5,Tue,Away,W,2,1,Brescia,1.7,0.7,67.0,14000.0,Leonardo Bonucci,4-1-2-1-2◆,Fabrizio Pasqua,Match Report,,20.0,5.0,17.4,2.0,0,0,2020,Juventus
6,2019-09-28,15:00,Serie A,Matchweek 6,Sat,Home,W,2,0,SPAL,2.0,0.2,67.0,38995.0,Leonardo Bonucci,4-1-2-1-2◆,Marco Piccinini,Match Report,,21.0,10.0,17.4,1.0,0,0,2020,Juventus
8,2019-10-06,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Inter,1.5,1.6,49.0,75923.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,18.0,6.0,20.2,2.0,0,0,2020,Juventus
9,2019-10-19,20:45,Serie A,Matchweek 8,Sat,Home,W,2,1,Bologna,2.0,0.9,65.0,40461.0,Leonardo Bonucci,4-3-1-2,Massimiliano Irrati,Match Report,,23.0,10.0,17.3,1.0,0,0,2020,Juventus
11,2019-10-26,15:00,Serie A,Matchweek 9,Sat,Away,D,1,1,Lecce,3.6,1.1,70.0,26591.0,Leonardo Bonucci,4-3-1-2,Paolo Valeri,Match Report,,24.0,3.0,16.3,0.0,1,1,2020,Juventus
12,2019-10-30,21:00,Serie A,Matchweek 10,Wed,Home,W,2,1,Genoa,2.7,0.4,54.0,38732.0,Leonardo Bonucci,4-3-1-2,Antonio Giua,Match Report,,26.0,10.0,21.0,0.0,1,1,2020,Juventus
13,2019-11-02,20:45,Serie A,Matchweek 11,Sat,Away,W,1,0,Torino,1.2,0.4,58.0,26664.0,Leonardo Bonucci,4-3-1-2,Daniele Doveri,Match Report,,19.0,10.0,17.2,1.0,0,0,2020,Juventus
15,2019-11-10,20:45,Serie A,Matchweek 12,Sun,Home,W,1,0,Milan,1.0,0.8,54.0,40478.0,Leonardo Bonucci,4-3-1-2,Fabio Maresca,Match Report,,13.0,5.0,17.5,0.0,0,0,2020,Juventus
16,2019-11-23,15:00,Serie A,Matchweek 13,Sat,Away,W,3,1,Atalanta,1.2,2.7,53.0,20899.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,16.0,5.0,22.1,3.0,0,0,2020,Juventus
18,2019-12-01,12:30,Serie A,Matchweek 14,Sun,Home,D,2,2,Sassuolo,4.6,0.7,56.0,40597.0,Leonardo Bonucci,4-3-1-2,Federico La Penna,Match Report,,28.0,8.0,17.3,3.0,1,1,2020,Juventus
19,2019-12-07,20:45,Serie A,Matchweek 15,Sat,Away,L,1,3,Lazio,1.6,3.0,60.0,65000.0,Leonardo Bonucci,4-3-1-2,Michael Fabbri,Match Report,,9.0,4.0,19.0,1.0,0,0,2020,Juventus
21,2019-12-15,15:00,Serie A,Matchweek 16,Sun,Home,W,3,1,Udinese,1.6,1.4,65.0,39127.0,Leonardo Bonucci,4-3-1-2,Fabrizio Pasqua,Match Report,,24.0,9.0,18.3,0.0,0,0,2020,Juventus
22,2019-12-18,18:55,Serie A,Matchweek 17,Wed,Away,W,2,1,Sampdoria,0.9,0.7,70.0,23136.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,11.0,4.0,17.2,0.0,0,0,2020,Juventus
24,2020-01-06,15:00,Serie A,Matchweek 18,Mon,Home,W,4,0,Cagliari,2.8,0.6,64.0,40598.0,Leonardo Bonucci,4-3-1-2,Piero Giacomelli,Match Report,,19.0,8.0,20.5,2.0,1,1,2020,Juventus
25,2020-01-12,20:45,Serie A,Matchweek 19,Sun,Away,W,2,1,Roma,1.4,2.6,47.0,60513.0,Leonardo Bonucci,4-3-1-2,Marco Guida,Match Report,,4.0,3.0,13.3,0.0,1,1,2020,Juventus
27,2020-01-19,20:45,Serie A,Matchweek 20,Sun,Home,W,2,1,Parma,1.2,0.3,63.0,37790.0,Leonardo Bonucci,4-3-1-2,Marco Di Bello,Match Report,,17.0,5.0,16.7,0.0,0,0,2020,Juventus
29,2020-01-26,20:45,Serie A,Matchweek 21,Sun,Away,L,1,2,Napoli,1.0,1.4,49.0,39111.0,Leonardo Bonucci,4-3-1-2,Maurizio Mariani,Match Report,,8.0,4.0,15.8,0.0,0,0,2020,Juventus
30,2020-02-02,12:30,Serie A,Matchweek 22,Sun,Home,W,3,0,Fiorentina,2.9,0.8,74.0,40171.0,Leonardo Bonucci,4-3-3,Fabrizio Pasqua,Match Report,,13.0,6.0,17.5,1.0,2,2,2020,Juventus
31,2020-02-08,20:45,Serie A,Matchweek 23,Sat,Away,L,1,2,Hellas Verona,0.9,1.9,53.0,28654.0,Leonardo Bonucci,4-3-3,Davide Massa,Match Report,,15.0,3.0,21.0,0.0,0,0,2020,Juventus
33,2020-02-16,15:00,Serie A,Matchweek 24,Sun,Home,W,2,0,Brescia,2.6,0.3,68.0,40841.0,Leonardo Bonucci,4-3-3,Daniele Chiffi,Match Report,,27.0,8.0,18.0,2.0,0,0,2020,Juventus
34,2020-02-22,18:00,Serie A,Matchweek 25,Sat,Away,W,2,1,SPAL,2.0,1.2,55.0,15262.0,Giorgio Chiellini,4-4-2,Federico La Penna,Match Report,,20.0,6.0,19.6,3.0,0,0,2020,Juventus
36,2020-03-08,20:45,Serie A,Matchweek 26,Sun,Home,W,2,0,Inter,1.1,0.6,54.0,,Leonardo Bonucci,4-3-3,Marco Guida,Match Report,,17.0,5.0,18.8,2.0,0,0,2020,Juventus
39,2020-06-22,21:45,Serie A,Matchweek 27,Mon,Away,W,2,0,Bologna,1.7,0.8,52.0,,Leonardo Bonucci,4-3-3,Gianluca Rocchi,Match Report,,13.0,2.0,22.2,2.0,1,1,2020,Juventus
40,2020-06-26,21:45,Serie A,Matchweek 28,Fri,Home,W,4,0,Lecce,3.9,0.3,64.0,,Leonardo Bonucci,4-3-3,Marco Piccinini,Match Report,,25.0,11.0,18.7,0.0,1,1,2020,Juventus
41,2020-06-30,21:45,Serie A,Matchweek 29,Tue,Away,W,3,1,Genoa,0.8,0.2,63.0,,Leonardo Bonucci,4-3-3,Giampaolo Calvarese,Match Report,,18.0,9.0,20.9,1.0,0,0,2020,Juventus
42,2020-07-04,17:15,Serie A,Matchweek 30,Sat,Home,W,4,1,Torino,1.7,1.7,52.0,,Leonardo Bonucci,4-3-3,Fabio Maresca,Match Report,,22.0,7.0,19.6,2.0,0,0,2020,Juventus
43,2020-07-07,21:45,Serie A,Matchweek 31,Tue,Away,L,2,4,Milan,1.4,2.2,51.0,,Leonardo Bonucci,4-3-3,Marco Guida,Match Report,,14.0,4.0,17.0,0.0,0,0,2020,Juventus
44,2020-07-11,21:45,Serie A,Matchweek 32,Sat,Home,D,2,2,Atalanta,2.0,0.7,49.0,,Leonardo Bonucci,4-3-3,Piero Giacomelli,Match Report,,7.0,3.0,25.9,1.0,2,2,2020,Juventus
45,2020-07-15,21:45,Serie A,Matchweek 33,Wed,Away,D,3,3,Sassuolo,2.6,2.5,43.0,,Giorgio Chiellini,4-3-3,Paolo Valeri,Match Report,,21.0,5.0,18.1,2.0,0,0,2020,Juventus
46,2020-07-20,21:45,Serie A,Matchweek 34,Mon,Home,W,2,1,Lazio,3.3,1.4,55.0,,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,,18.0,6.0,16.9,0.0,1,1,2020,Juventus
47,2020-07-23,19:30,Serie A,Matchweek 35,Thu,Away,L,1,2,Udinese,0.7,1.1,60.0,,Paulo Dybala,4-3-3,Massimiliano Irrati,Match Report,,21.0,5.0,24.3,0.0,0,0,2020,Juventus
48,2020-07-26,21:45,Serie A,Matchweek 36,Sun,Home,W,2,0,Sampdoria,3.0,1.7,62.0,,Leonardo Bonucci,4-3-3,Francesco Fourneau,Match Report,,15.0,6.0,17.1,1.0,0,1,2020,Juventus
49,2020-07-29,21:45,Serie A,Matchweek 37,Wed,Away,L,0,2,Cagliari,1.7,1.1,66.0,,Leonardo Bonucci,4-3-3,Davide Ghersini,Match Report,,34.0,10.0,22.3,3.0,0,0,2020,Juventus
50,2020-08-01,20:45,Serie A,Matchweek 38,Sat,Home,L,1,3,Roma,1.2,1.7,57.0,,Leonardo Bonucci,4-3-3,Gianluca Rocchi,Match Report,,11.0,2.0,16.7,1.0,0,0,2020,Juventus
0,2019-08-26,20:45,Serie A,Matchweek 1,Mon,Home,W,4.0,0.0,Lecce,1.7,0.6,59.0,64188.0,Samir Handanović,3-5-2,Federico La Penna,Match Report,,24.0,8.0,19.0,0.0,0,0,2020,Internazionale
1,2019-09-01,20:45,Serie A,Matchweek 2,Sun,Away,W,2.0,1.0,Cagliari,1.7,0.5,59.0,16412.0,Samir Handanović,3-5-2,Fabio Maresca,Match Report,,8.0,4.0,19.7,1.0,1,1,2020,Internazionale
2,2019-09-14,20:45,Serie A,Matchweek 3,Sat,Home,W,1.0,0.0,Udinese,1.6,0.3,64.0,57991.0,Samir Handanović,3-4-3,Maurizio Mariani,Match Report,,22.0,8.0,21.6,2.0,0,0,2020,Internazionale
4,2019-09-21,20:45,Serie A,Matchweek 4,Sat,Away,W,2.0,0.0,Milan,2.1,1.0,48.0,70440.0,Samir Handanović,3-1-4-2,Daniele Doveri,Match Report,,16.0,7.0,17.8,0.0,0,0,2020,Internazionale
5,2019-09-25,21:00,Serie A,Matchweek 5,Wed,Home,W,1.0,0.0,Lazio,1.5,1.2,64.0,56175.0,Samir Handanović,3-4-1-2,Fabio Maresca,Match Report,,15.0,3.0,16.5,0.0,0,0,2020,Internazionale
6,2019-09-28,18:00,Serie A,Matchweek 6,Sat,Away,W,3.0,1.0,Sampdoria,2.2,1.1,54.0,23694.0,Samir Handanović,3-5-2,Giampaolo Calvarese,Match Report,,15.0,7.0,15.6,0.0,0,0,2020,Internazionale
8,2019-10-06,20:45,Serie A,Matchweek 7,Sun,Home,L,1.0,2.0,Juventus,1.6,1.5,51.0,75923.0,Samir Handanović,3-5-2,Gianluca Rocchi,Match Report,,9.0,2.0,20.9,0.0,1,1,2020,Internazionale
